#ID	#ID1	#1	#ID2	#2	#ID3	#3	#ID4	#4	#ID5	#5
1	11	3	11	4	11	5	11	6	-1	-1
2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110100	35	3101001	-1	-1	-1	-1	-1	-1	-1	-1
110200	35	3102000	-1	-1	-1	-1	-1	-1	-1	-1
110300	35	3103001	-1	-1	-1	-1	-1	-1	-1	-1
110400	35	3104001	-1	-1	-1	-1	-1	-1	-1	-1
110500	35	3105001	-1	-1	-1	-1	-1	-1	-1	-1
110600	35	3106000	-1	-1	-1	-1	-1	-1	-1	-1
110700	35	3107001	35	3107002	-1	-1	-1	-1	-1	-1
110800	35	3108001	-1	-1	-1	-1	-1	-1	-1	-1
111000	35	3110001	35	3107001	-1	-1	-1	-1	-1	-1
120100	35	3201003	35	3201001	-1	-1	-1	-1	-1	-1
120200	35	4102005	45	10202	-1	-1	-1	-1	-1	-1
120300	45	10203	-1	-1	-1	-1	-1	-1	-1	-1
120400	45	10204	-1	-1	-1	-1	-1	-1	-1	-1
130400	35	3304000	-1	-1	-1	-1	-1	-1	-1	-1
130500	45	10305	-1	-1	-1	-1	-1	-1	-1	-1
130600	45	10305	-1	-1	-1	-1	-1	-1	-1	-1
130700	35	3307001	45	10307	-1	-1	-1	-1	-1	-1
140100	35	3401001	-1	-1	-1	-1	-1	-1	-1	-1
140200	35	3402001	45	10402	-1	-1	-1	-1	-1	-1
140300	35	3403001	45	10402	-1	-1	-1	-1	-1	-1
140400	45	10402	-1	-1	-1	-1	-1	-1	-1	-1
140500	45	10405	-1	-1	-1	-1	-1	-1	-1	-1
140600	35	3406001	45	10401	-1	-1	-1	-1	-1	-1
150100	45	10501	-1	-1	-1	-1	-1	-1	-1	-1
150200	45	10502	-1	-1	-1	-1	-1	-1	-1	-1
150300	45	10503	-1	-1	-1	-1	-1	-1	-1	-1
150400	45	10504	-1	-1	-1	-1	-1	-1	-1	-1
150500	35	3505001	45	10505	-1	-1	-1	-1	-1	-1
150600	35	3506001	45	10101	-1	-1	-1	-1	-1	-1
150700	35	3507001	45	10101	-1	-1	-1	-1	-1	-1
160100	45	10601	-1	-1	-1	-1	-1	-1	-1	-1
160200	45	10602	-1	-1	-1	-1	-1	-1	-1	-1
160300	35	3603001	45	10603	-1	-1	-1	-1	-1	-1
160400	35	3604001	45	10604	-1	-1	-1	-1	-1	-1
