#（0：傀儡1：青元剑诀2:炎光3：五行遁4：符箓咒杀5：破鞋6：元灵）																																																																																																																																																																																																																																																				
#技能ID	#技能系	#技能系序号																																																																																																																																																																																																																																																		
2025	2	1																																																																																																																																																																																																																																																		
2019	2	2																																																																																																																																																																																																																																																		
2018	2	3																																																																																																																																																																																																																																																		
2021	2	4																																																																																																																																																																																																																																																		
																																																																																																																																																																																																																																																				
2004	3	1																																																																																																																																																																																																																																																		
2005	3	2																																																																																																																																																																																																																																																		
2006	3	3																																																																																																																																																																																																																																																		
2007	3	4																																																																																																																																																																																																																																																		
																																																																																																																																																																																																																																																				
2000	0	1																																																																																																																																																																																																																																																		
2001	0	2																																																																																																																																																																																																																																																		
2002	0	3																																																																																																																																																																																																																																																		
2003	0	4																																																																																																																																																																																																																																																		
																																																																																																																																																																																																																																																				
20161	1	1																																																																																																																																																																																																																																																		
2015	1	2																																																																																																																																																																																																																																																		
20163	1	3																																																																																																																																																																																																																																																		
20164	1	4																																																																																																																																																																																																																																																		
